event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,outcome_name,outcome_price,outcome_point
bc75901da0eccd430c2e8b602e37b3dd,soccer_netherlands_eredivisie,Dutch Eredivisie,2025-10-25T14:39:00Z,Fortuna Sittard,Groningen,bovada,Bovada,2025-10-25T16:46:39Z,h2h,2025-10-25T16:46:39Z,Draw,3.2,
bc75901da0eccd430c2e8b602e37b3dd,soccer_netherlands_eredivisie,Dutch Eredivisie,2025-10-25T14:39:00Z,Fortuna Sittard,Groningen,bovada,Bovada,2025-10-25T16:46:39Z,spreads,2025-10-25T16:46:39Z,Fortuna Sittard,1.8,0.25
bc75901da0eccd430c2e8b602e37b3dd,soccer_netherlands_eredivisie,Dutch Eredivisie,2025-10-25T14:39:00Z,Fortuna Sittard,Groningen,bovada,Bovada,2025-10-25T16:46:39Z,spreads,2025-10-25T16:46:39Z,Groningen,2.05,-0.25
2371a503dc1a439fc2ba73fa22f8b502,soccer_france_ligue_one,Ligue 1 - France,2025-10-25T15:00:00Z,Brest,Paris Saint Germain,fanduel,FanDuel,2025-10-25T16:43:10Z,h2h,2025-10-25T16:43:10Z,Brest,101.0,
2371a503dc1a439fc2ba73fa22f8b502,soccer_france_ligue_one,Ligue 1 - France,2025-10-25T15:00:00Z,Brest,Paris Saint Germain,fanduel,FanDuel,2025-10-25T16:43:10Z,h2h,2025-10-25T16:43:10Z,Paris Saint Germain,1.0,
2371a503dc1a439fc2ba73fa22f8b502,soccer_france_ligue_one,Ligue 1 - France,2025-10-25T15:00:00Z,Brest,Paris Saint Germain,fanduel,FanDuel,2025-10-25T16:43:10Z,h2h,2025-10-25T16:43:10Z,Draw,56.0,
2371a503dc1a439fc2ba73fa22f8b502,soccer_france_ligue_one,Ligue 1 - France,2025-10-25T15:00:00Z,Brest,Paris Saint Germain,bovada,Bovada,2025-10-25T16:46:29Z,spreads,2025-10-25T16:46:29Z,Brest,1.83,2.25
2371a503dc1a439fc2ba73fa22f8b502,soccer_france_ligue_one,Ligue 1 - France,2025-10-25T15:00:00Z,Brest,Paris Saint Germain,bovada,Bovada,2025-10-25T16:46:29Z,spreads,2025-10-25T16:46:29Z,Paris Saint Germain,2.0,-2.25
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,bovada,Bovada,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Grazer AK,126.0,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,bovada,Bovada,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,LASK,1.06,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,bovada,Bovada,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Draw,10.0,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,bovada,Bovada,2025-10-25T16:46:45Z,spreads,2025-10-25T16:46:45Z,Grazer AK,2.85,1.0
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,bovada,Bovada,2025-10-25T16:46:45Z,spreads,2025-10-25T16:46:45Z,LASK,1.4,-1.0
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,fanduel,FanDuel,2025-10-25T16:45:23Z,h2h,2025-10-25T16:45:23Z,Grazer AK,101.0,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,fanduel,FanDuel,2025-10-25T16:45:23Z,h2h,2025-10-25T16:45:23Z,LASK,1.03,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,fanduel,FanDuel,2025-10-25T16:45:23Z,h2h,2025-10-25T16:45:23Z,Draw,13.0,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,betrivers,BetRivers,2025-10-25T16:46:22Z,h2h,2025-10-25T16:46:22Z,Grazer AK,101.0,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,betrivers,BetRivers,2025-10-25T16:46:22Z,h2h,2025-10-25T16:46:22Z,LASK,1.01,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,betrivers,BetRivers,2025-10-25T16:46:22Z,h2h,2025-10-25T16:46:22Z,Draw,12.0,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,draftkings,DraftKings,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Grazer AK,61.0,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,draftkings,DraftKings,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,LASK,1.06,
f85a8281334fa7a42c8d8a4023a71b6a,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:00:00Z,LASK,Grazer AK,draftkings,DraftKings,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Draw,9.5,
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,bovada,Bovada,2025-10-25T16:46:45Z,spreads,2025-10-25T16:46:45Z,FC Blau-Weiß Linz,1.67,2.0
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,bovada,Bovada,2025-10-25T16:46:45Z,spreads,2025-10-25T16:46:45Z,WSG Tirol,2.15,-2.0
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,fanduel,FanDuel,2025-10-25T16:42:15Z,h2h,2025-10-25T16:42:15Z,FC Blau-Weiß Linz,101.0,
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,fanduel,FanDuel,2025-10-25T16:42:15Z,h2h,2025-10-25T16:42:15Z,WSG Tirol,1.0,
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,fanduel,FanDuel,2025-10-25T16:42:15Z,h2h,2025-10-25T16:42:15Z,Draw,46.0,
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,draftkings,DraftKings,2025-10-25T16:39:42Z,h2h,2025-10-25T16:39:42Z,FC Blau-Weiß Linz,71.0,
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,draftkings,DraftKings,2025-10-25T16:39:42Z,h2h,2025-10-25T16:39:42Z,WSG Tirol,1.02,
3af274d02195ca7937f8fa1fd34ab8d3,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,WSG Tirol,FC Blau-Weiß Linz,draftkings,DraftKings,2025-10-25T16:39:42Z,h2h,2025-10-25T16:39:42Z,Draw,13.0,
